"Daily Weather Observations for Garden Island, Western Australia for January 2024"
"Prepared at 13:02 UTC on Wednesday 17 April 2024   IDCJDW6046.202401"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from a site at the southern end of Garden Island."
"Observations were drawn from Garden Island HSF {station 009256}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,17.9,24.0,0,,,SSW,67,19:08,21.3,68,,SSW,17,1017.7,23.4,67,,SSW,37,1015.4
,2024-01-2,19.0,28.8,0,,,,,,23.6,60,,SE,28,1017.2,28.3,44,,SE,31,1015.1
,2024-01-3,18.9,32.4,,,,E,52,23:41,24.0,49,,ESE,28,1020.7,32.1,25,,E,26,1016.9
,2024-01-4,17.1,31.9,0,,,E,56,04:06,23.1,47,,E,28,1021.6,25.9,59,,SW,26,1017.4
,2024-01-5,17.0,28.7,0,,,SSW,52,16:34,24.0,48,,ENE,24,1019.5,23.6,69,,SW,37,1016.8
,2024-01-6,18.1,28.9,0,,,SSW,46,15:34,25.2,52,,ENE,19,1016.8,23.9,73,,SSW,35,1013.5
,2024-01-7,19.2,30.9,0,,,SSW,43,17:25,28.7,44,,ENE,19,1013.7,25.4,73,,SSW,31,1011.6
,2024-01-8,21.9,34.0,0,,,SSW,69,22:20,27.6,51,,E,9,1011.6,24.9,72,,SSW,43,1009.6
,2024-01-9,19.3,24.7,0,,,SSW,65,14:44,22.1,70,,SSE,31,1012.2,24.5,71,,SSW,50,1010.7
,2024-01-10,17.8,26.0,0,,,SSW,43,17:21,23.8,52,,SE,13,1014.0,23.6,65,,SW,31,1011.1
,2024-01-11,19.4,26.2,0,,,SSW,48,16:43,22.6,64,,S,15,1010.7,24.1,71,,SW,31,1008.2
,2024-01-12,19.1,36.1,0,,,ENE,52,21:36,25.8,56,,E,26,1010.4,27.6,67,,SW,22,1006.6
,2024-01-13,23.6,36.7,0,,,E,41,00:23,29.7,43,,ENE,22,1007.9,29.0,64,,SW,20,1005.0
,2024-01-14,22.6,30.1,0,,,N,24,03:21,26.1,78,,NW,11,1005.6,28.8,71,,SW,11,1004.0
,2024-01-15,22.0,33.1,0,,,N,31,07:56,25.4,77,,NNW,20,1006.8,26.1,74,,W,15,1005.1
,2024-01-16,20.4,37.0,0,,,NNE,69,14:05,33.0,46,,NE,13,1004.2,27.9,71,,NNW,31,1002.5
,2024-01-17,23.3,28.1,0,,,W,33,19:51,26.3,82,,WNW,13,1005.9,26.8,70,,WNW,22,1004.9
,2024-01-18,21.6,26.2,0,,,WSW,39,12:03,23.9,64,,W,20,1008.9,24.2,67,,SW,28,1008.7
,2024-01-19,21.2,26.6,0,,,SSW,44,19:37,23.2,70,,S,24,1010.1,24.0,73,,SSW,31,1008.8
,2024-01-20,20.0,29.4,0,,,SSW,48,17:46,26.2,52,,ENE,2,1010.1,25.6,71,,SW,31,1008.9
,2024-01-21,22.4,24.9,0,,,SSW,56,23:57,23.6,83,,SSW,30,1009.0,24.2,79,,SSW,39,1007.9
,2024-01-22,17.6,25.9,0,,,SSW,54,00:03,23.4,61,,SSE,17,1012.1,23.9,64,,SW,31,1010.9
,2024-01-23,18.7,24.7,0,,,SSW,52,20:07,24.1,55,,SE,15,1013.9,23.6,63,,SW,33,1011.9
,2024-01-24,18.5,24.4,0,,,S,65,21:20,22.4,62,,SSE,26,1014.6,23.3,70,,SSW,43,1011.7
,2024-01-25,17.9,24.2,0,,,SSW,69,19:19,20.5,65,,S,33,1016.5,23.3,68,,SSW,50,1013.5
,2024-01-26,16.8,27.9,0,,,SSW,54,14:58,22.7,45,,E,22,1019.6,22.7,65,,SSW,44,1015.5
,2024-01-27,17.7,28.6,0,,,SSW,43,19:35,26.1,39,,NE,20,1013.9,25.6,64,,SW,19,1009.4
,2024-01-28,19.8,24.5,0,,,SSW,57,21:06,21.1,73,,S,30,1012.4,23.5,77,,SSW,35,1011.7
,2024-01-29,17.0,27.1,0,,,SSW,59,17:52,22.8,47,,E,17,1017.9,22.6,70,,SSW,43,1015.8
,2024-01-30,17.6,33.8,0,,,SSW,50,18:42,26.9,38,,E,22,1018.6,25.6,67,,SSW,31,1015.6
,2024-01-31,22.3,35.1,0,,,SSW,43,15:46,26.7,64,,S,2,1016.3,26.5,69,,SSW,28,1014.6