"Daily Weather Observations for Jandakot, Western Australia for January 2024"
"Prepared at 13:03 UTC on Wednesday 17 April 2024   IDCJDW6056.202401"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Jandakot Airport."
"On most days Jandakot experiences very similar sunshine readings to those recorded at Perth Airport but the distance apart is such that there will be occasional exceptions. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Jandakot Aero {station 009172}"
"Sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,16.0,27.8,0,,11.8,SW,48,14:15,22.9,51,,S,11,1017.0,26.1,50,,SW,30,1014.8
,2024-01-2,17.0,29.2,0,,4.1,ESE,67,23:15,24.2,52,8,SE,30,1016.5,28.3,39,8,SE,31,1014.6
,2024-01-3,18.9,32.0,0,,11.3,E,59,21:48,21.9,53,4,ESE,31,1020.2,30.3,26,,ESE,35,1016.5
,2024-01-4,16.4,31.6,0,,13.1,ESE,56,01:04,22.9,45,,E,28,1021.0,30.8,26,,E,26,1016.7
,2024-01-5,16.1,31.3,0,,13.2,E,48,00:22,22.6,50,,ENE,17,1019.3,28.2,40,,WSW,28,1015.9
,2024-01-6,17.4,32.6,0,,13.1,E,43,00:27,24.4,50,,ENE,19,1016.4,29.3,40,,WSW,30,1012.3
,2024-01-7,16.7,35.1,0,,12.7,SSW,39,16:45,28.1,40,,ENE,24,1013.4,33.8,32,,SW,28,1010.6
,2024-01-8,19.7,36.7,0,,13.1,SSW,48,16:10,30.4,32,,NE,11,1011.1,32.3,36,,SW,30,1008.4
,2024-01-9,17.4,31.0,0,,13.0,SW,52,15:53,23.8,49,,S,22,1011.8,29.3,45,,SW,33,1009.8
,2024-01-10,17.2,31.3,0,,13.0,ESE,41,02:31,23.4,49,,E,19,1013.6,28.1,44,,WSW,30,1010.1
,2024-01-11,18.2,31.2,0,,12.0,ESE,48,23:54,24.3,50,,SSE,11,1010.2,29.1,46,,WSW,31,1007.2
,2024-01-12,19.3,37.1,0,,13.0,ESE,52,23:23,24.8,54,,ESE,31,1009.9,35.9,32,,E,17,1005.9
,2024-01-13,23.6,40.4,1.4,,11.3,ENE,44,00:43,30.2,43,,E,20,1007.7,37.4,31,,WSW,20,1004.4
,2024-01-14,24.9,36.5,0,,12.7,W,31,14:34,31.1,53,,NNW,9,1005.1,35.4,33,,WSW,20,1003.4
,2024-01-15,23.1,34.5,0,,12.1,N,31,10:34,28.1,60,,N,15,1006.6,29.0,62,,SW,19,1004.4
,2024-01-16,21.5,42.3,0,,13.0,N,59,13:42,32.7,44,,ENE,17,1003.9,30.8,54,,WNW,22,1002.7
,2024-01-17,25.3,32.0,0,,12.6,NE,44,00:59,29.7,55,,NNE,13,1005.5,30.4,55,,WNW,20,1004.2
,2024-01-18,21.6,27.6,0,,11.0,WSW,43,13:54,24.2,60,7,W,22,1008.5,24.6,59,8,WSW,26,1008.2
,2024-01-19,21.5,28.1,0,,12.8,WSW,48,13:09,24.3,57,6,S,13,1009.5,25.8,57,,WSW,31,1008.0
,2024-01-20,16.0,33.1,0,,13.1,WSW,39,13:14,26.5,49,,ENE,9,1009.8,30.8,47,,WSW,26,1007.8
,2024-01-21,17.7,30.3,0,,13.1,WSW,46,16:21,26.5,63,,SSW,15,1008.5,28.0,57,,SW,31,1007.3
,2024-01-22,13.1,28.5,0,,13.1,WSW,46,14:15,23.5,49,,SSE,19,1011.6,26.7,46,,SW,33,1010.3
,2024-01-23,12.8,27.9,0,,13.0,WSW,46,12:54,23.9,42,,SSE,20,1013.5,26.7,46,,SW,31,1010.8
,2024-01-24,16.2,29.4,0,,12.9,SW,50,14:00,23.3,48,,SSE,22,1013.9,27.1,45,,SW,31,1010.8
,2024-01-25,16.3,30.3,0,,12.6,SW,52,15:08,21.1,50,,SSE,24,1015.9,27.5,39,,SW,35,1012.2
,2024-01-26,16.2,30.6,0,,12.9,ESE,48,02:22,21.7,45,,E,26,1019.0,27.0,45,,WSW,31,1014.8
,2024-01-27,16.6,32.6,0,,13.0,ESE,39,05:44,25.4,35,,NE,19,1013.7,31.8,23,,WSW,26,1008.5
,2024-01-28,13.3,28.0,0,,12.1,WSW,44,13:31,21.7,64,6,SSW,22,1012.1,25.9,60,,WSW,30,1010.8
,2024-01-29,16.8,28.8,0,,12.6,WSW,44,14:02,22.1,46,,E,20,1017.5,26.5,44,,SW,33,1014.9
,2024-01-30,17.1,36.3,0,,12.9,ESE,48,03:18,26.0,40,,E,24,1018.3,34.2,27,,WSW,26,1014.5
,2024-01-31,18.5,41.8,0,,12.9,SSW,39,16:50,33.9,26,,NE,26,1016.0,38.5,22,,SW,28,1013.5